Owner	Route	STR NO	Structure Name	MP xxxx.xxx	Latitude ddmmss.ss	Longitude ddmmss.ss	County	Municipality
State Routes	1	0902153	SECAUCUS RD OVER US 1&9 (TONNELLE AVE)	0000.480	40.453661	-74.030396	HUDSON	North Bergen township
State Routes	1	1101150	ROUTE US 1 OVER ASSUNPINK CREEK	0000.880	40.130432	-74.452045	MERCER	Trenton city
State Routes	1	1101153	US 1 OVER NJ 33 (MARKET STREET)	0000.900	40.130368	-74.452624	MERCER	Trenton city
State Routes	1	1101155	EAST STATE STREET OVER ROUTE US 1	0000.200	40.131442	-74.452962	MERCER	Trenton city
State Routes	1	1101156	PERRY STREET OVER ROUTE US 1	0000.370	40.132674	-74.453311	MERCER	Trenton city
State Routes	1	1101159	US 1 SB OVER NB RAMP TO OLDEN AVE. (CR 622)	0002.260	40.140438	-74.445403	MERCER	Trenton city
State Routes	1	1101161	US 1 OVER MULBERRY STREET	0002.720	40.14183	-74.443042	MERCER	Trenton city
State Routes	1	1101162	US 1B OVER D&R CANAL & US 1 SOUTHBOUND	0000.040	40.14258	-74.44206	MERCER	Trenton city
State Routes	1	1101163	ROUTE US 1B (STRAWBERRY ST.) OVER NEW YORK AVENUE	0000.150	40.143133	-74.442174	MERCER	Trenton city
State Routes	1	1101164	US 1 RAMP C OVER MARKET STREET(NJ 33)	0000.900	40.130396	-74.452874	MERCER	Trenton city
State Routes	1	1103151	US-1 OVER SHIPETAUKIN CR	0006.330	40.1648	-74.4206	MERCER	Lawrence township
State Routes	1	1103152	ROUTE US 1 & RAMP OVER D&R CANAL	0006.450	40.16469	-74.420156	MERCER	Lawrence township
State Routes	1	1103153	ROUTE US 1 OVER DUCK POND RUN	0008.940	40.182344	-74.400468	MERCER	West Windsor township
State Routes	1	1103155	ROUTE US 1 OVER MILLSTONE RIVER	0011.960	40.201876	-74.374542	MERCER	West Windsor township
State Routes	1	1103158	ALEXANDER RD OVER US 1	0001.350	40.1936	-74.3806	MERCER	West Windsor township
State Routes	1	1103159	MEADOW ROAD OVER US ROUTE 1	0000.000	40.184325	-74.394338	MERCER	West Windsor township
State Routes	1	1126150	ROUTE US-1 OVER WHITEHEAD ROAD	0003.750	40.145412	-74.434051	MERCER	Lawrence township
State Routes	1	1126151	US ROUTE 1 OVER D&R CANAL	0003.850	40.145634	-74.433588	MERCER	Lawrence township
State Routes	1	1126152	ROUTE US 1 SB RAMP / D&R CANAL & ABAND.RR	0003.850	40.15	-74.433	MERCER	Lawrence township
State Routes	1	1126153	 US 1 AND D&R CANAL / SHABAKUNK CREEK	0004.190	40.15092	-74.431666	MERCER	Lawrence township
State Routes	1	1126154	US 1 OVER US 1 BUSINESS NB	0005.240	40.16	-74.4254	MERCER	Lawrence township
State Routes	1	1126156	US 1& US 1B SB OVER FIVE MILE RUN	0005.320	40.160575	-74.42535	MERCER	Lawrence township
State Routes	1	1201151	US ROUTE 1 OVER FORRESTAL ROAD.	0012.930	40.21	-74.37	MIDDLESEX	Plainsboro township
State Routes	1	1201158	"ROUTE US 1 / AMTRAK,JERSEY AVE. & LIVNGSTN AVE."	0022.950	40.271694	-74.291325	MIDDLESEX	North Brunswick township
State Routes	1	1201162	COLLEGE RD OVER US 1	0000.000	40.2148	-74.3548	MIDDLESEX	Plainsboro township
State Routes	1	1201163	SCUDDERS MILL ROAD OVER US 1	0000.000	40.2036	-74.3724	MIDDLESEX	Plainsboro township
State Routes	1	1202151	CR 606 (MILLTOWN ROAD) OVER US 1	0004.420	40.275336	-74.265386	MIDDLESEX	North Brunswick township
State Routes	1	1202152	US1 OVER CONNECTOR ROAD	0025.650	40.2802	-74.26175	MIDDLESEX	North Brunswick township
State Routes	1	1202155	RYDERS LANE (CO. RT. 617) OVER US 1	0006.580	40.282959	-74.254039	MIDDLESEX	North Brunswick township
State Routes	1	1202156	US 130 Southbound over US 1	0083.460	40.274514	-74.271675	MIDDLESEX	North Brunswick township
State Routes	1	1203150	US1NB/RARITAN RIVER & LOCAL ROADS.	0027.750	40.292331	-74.244824	MIDDLESEX	Edison township
State Routes	1	1203151	WOODBRIDGE AVE (CR514) OVER US 1	0026.740	40.295945	-74.242663	MIDDLESEX	Edison township
State Routes	1	1203154	SOUTH MAIN STREET (CR531) OVER US 1	0000.690	40.31324	-74.213048	MIDDLESEX	Edison township
State Routes	1	1203155	US 1 OVER BRANCH OF MILL BROOK	0030.240	40.35	-75.18	MIDDLESEX	Edison township
State Routes	1	1203156	ROUTE US 1 SOUTHBOUND / RARITAN RVR & LOCAL RDS	0027.900	40.292302	-74.245043	MIDDLESEX	Edison township
State Routes	1	1204151	US 1 OVER AMBOY AVENUE (CR 501)	0032.730	40.320946	-74.203764	MIDDLESEX	Edison township
State Routes	1	1204153	RT US 1 OVER CONRAIL (FRMRLY PORT READING BR.)	0035.450	40.333648	-74.181344	MIDDLESEX	Woodbridge township
State Routes	1	1204154	RAMP FROM GSP OVER US ROUTE 1	0130.630	40.33097	-74.1904	MIDDLESEX	Woodbridge township
State Routes	1	1204155	US 1 NORTHBOUND OVER US 9 SOUTHBOUND	0035.890	40.335318	-74.175217	MIDDLESEX	Woodbridge Township (CDP)
State Routes	1+9	0201150	US 1&9 / ABANDONED NYS&W RR & UNNAMED STREAM	0060.710	40.485612	-74.003125	BERGEN	Fairview borough
State Routes	1+9	0201151	US 1&9 (BROAD AVENUE) OVER WOLF CREEK	0061.320	40.492712	-74.003234	BERGEN	Ridgefield borough
State Routes	1+9	0202150	ROUTES US 1&9&46/EAST HOMESTEAD AVENUE	0063.170	40.503266	-73.594	BERGEN	Palisades Park borough
State Routes	1+9	0202151	RTS US 1&9&46/EAST BRINKERHOFF AVE	0063.290	40.503733	-73.593511	BERGEN	Palisades Park borough
State Routes	1+9	0202152	RTS US 1&9&46 OVER EAST CENTRAL BLVD (RT 501)	0063.390	40.504149	-73.593096	BERGEN	Palisades Park borough
State Routes	1+9	0202153	ROUTES US 1&9&46 / EAST PALISADES BOULEVARD	0063.510	40.50465	-73.5926	BERGEN	Palisades Park borough
State Routes	1+9	0202154	RTS US 1&9&46/EAST EDSALL BOULEVARD	0063.710	40.505482	-73.591768	BERGEN	Palisades Park borough
State Routes	1+9	0202155	"US 1,9 AND 46 OVER OAKDENE AVENUE"	0063.840	40.510078	-73.59129	BERGEN	Palisades Park borough
State Routes	1+9	0202156	"US 1, 9 & 46 OVER NJ 63 SB"	0063.950	40.51054	-73.590798	BERGEN	Fort Lee borough
State Routes	1+9	0202158	"US 1, 9 & 46 OVER MAIN ST (CR 56 III)"	0064.490	40.512856	-73.58501	BERGEN	Fort Lee borough
