Name	Latitutde	Longitude	Address	City	State	County	Hours	Phone Number	Type of Gas
Buena DOT	39.51554447	-74.92849165	Rt. 40 near Catherine Avenue	Buena	NJ	Atlantic	7:45 AM - 3:45 PM	609-697-1136	Unleaded / Diesel
Buena Vista State Police	39.57795	-74.868281	1045 Rt. 54 South of Rt. 322	Buena Vista Township	NJ	Atlantic	7:00 AM - 7:00 PM	609-625-1105	Unleaded
Hammonton Motor Pool	39.65486598	-74.79584455	253-D North White Horse Pike	Hammonton	NJ	Atlantic	24 Hours	609-757-2649	Unleaded
Mays Landing DOT	39.47751148	-74.70172997	5837 Apple Street	Mays Landing	NJ	Atlantic	24 Hours	609-625-8284	Unleaded / Diesel
Pomona DOT	39.45960788	-74.54338501	Rt. 30 & W. McKinley Avenue	Pomona	NJ	Atlantic	7:45 AM - 3:45 PM	609-441-3196	Unleaded / Diesel
Lodi DOT	40.88844460	-74.07202900	Gregg St. 1 block off Rt. 17	Lodi	NJ	Bergen	24 Hours	201-845-6564	Unleaded / Diesel
Ramsey DOT	41.06565227	-74.12047012	15 Arrow Road	Ramsey	NJ	Bergen	7:45 AM - 3:45 PM	201-825-1076	Unleaded / Diesel
Bordentown DOT	40.13178135	-74.71658907	Dunns Mill Rd. off Rt. 130	Bordentown	NJ	Bordentown	"Unleaded - 24 Hours 
Diesel - 7:30 AM - 3:45 PM"	609-298-2980	Unleaded / Diesel
Edgewater Park DOT	40.04082858	-74.91620151	Rt. 130 & Mt. Holly Rd. 	Edgewater Park	NJ	Bordentown	24 Hours	609-877-8245	Unleaded / Diesel
Mt. Laurel DOT	39.96744662	-74.88930386	"Rt. 38 East, 1/4 mile East of Rt. 295"	Mt. Laurel	NJ	Bordentown	24 Hours	856-235-3096	Unleaded / Diesel
Southampton DOT	39.88907707	-74.74474718	Rt. 70 West of Rt. 206 at Red Lion Circle	Southampton	NJ	Bordentown	24 Hours	609-859-2335	Unleaded / Diesel
Berlin DOT	39.80369329	-74.93442722	36 Walker Avenue	Berlin	NJ	Camden	24 Hours	856-767-7717	Unleaded / Diesel
Cherry Hill DOT	39.90389152	-74.98461145	Frontage Road & Rt. 70 near Rt. 295	Cherry Hill	NJ	Camden	24 Hours	856-795-4748	Unleaded / Diesel
Pennsauken DOT	39.94934153	-75.07126805	3750 Rt. 130 & Federal St. Ramp Southbound	Pennsauken	NJ	Camden	7:30 AM - 3:45 PM	856-665-2995	Unleaded / Diesel
Middle Township DOT	39.02916768	-74.86327371	Rt. 9 & W. Edgewood Ave.	Rio Grande	NJ	Cape May	24 Hours	609-465-4201	Unleaded / Diesel
North Wildwood State Police	39.007403	-74.791143	1st & Central Ave.	North Wildwood	NJ	Cape May	7:00 AM - 7:00 PM	609-522-6081	Unleaded
Petersburg DOT	39.25964713	-74.73066206	400 Old Tuckahoe Road	Petersburg	NJ	Cape May	24 Hours	609-628-2533	Unleaded / Diesel
Woodbine Dev. Center	39.23413958	-74.80345129	1175 DeHirsch Ave. & Fantail 	Woodbine	NJ	Cape May	24 Hours	609-861-6021	Unleaded / Diesel
Bayside Facility	39.23339997	-74.96568202	4294 Rt. 47	Leesburg	NJ	Cumberland	24 Hours	856-785-0040 x 5429	Unleaded / Diesel
Cumberland DOT	39.36417407	-74.93084981	Rt. 49 & Hesstown Rd.	Cumberland	NJ	Cumberland	24 Hours	856-825-3320	Unleaded / Diesel
